student_id,school_id,grade_level,subject,assessment_date,score,pass_fail
STU0115,SCH01,8,Science,2026-01-14,68.3,Pass
STU0559,SCH02,7,Writing,2025-11-07,76.2,Pass
STU0031,SCH02,4,Reading,2025-05-13,64.5,
STU0559,SCH07,4,Writing,2025-08-14,67.9,Fail
STU0007,SCH03,8,Writing,2026-01-06,63.3,Fail
STU0105,SCH02,6,Math,2026-01-04,75.4,Fail
STU0353,SCH05,3,Writing,2025-10-06,,Fail
STU0081,SCH05,8,Science,2025-08-05,58.9,Pass
STU0072,SCH01,8,Reading,2025-09-27,74.3,Pass
STU0104,SCH07,5,Writing,2025-08-19,24.9,Fail
STU0167,SCH06,5,Reading,2025-10-19,,Pass
STU0176,SCH04,4,Writing,2025-06-21,47.5,Fail
STU0277,SCH04,8,Science,2025-07-07,82.3,Pass
STU0033,SCH06,6,Science,2025-05-31,46.3,
STU0217,SCH06,4,Writing,2025-08-30,41.6,Fail
STU0147,SCH05,4,Reading,2026-02-23,88.3,
STU0599,SCH07,7,Writing,2026-02-20,34.6,Pass
STU0522,SCH08,3,Math,2025-10-30,107.4,Pass
STU0157,SCH03,8,Writing,2025-10-21,55.8,Fail
STU0542,SCH05,7,Math,2025-09-28,59.6,Pass
STU0550,SCH05,8,Science,2025-10-01,80.2,
STU0004,SCH05,7,Reading,2026-04-01,78.3,Pass
STU0306,SCH04,4,Science,2026-01-09,69.5,Pass
STU0332,SCH08,3,Math,2025-12-19,49.4,Fail
STU0315,SCH04,3,Reading,2026-04-03,94.2,Pass
STU0498,SCH02,7,Reading,2025-12-14,42.8,Pass
STU0487,SCH03,5,Writing,2025-09-18,101.6,Pass
STU0320,SCH07,8,Science,2025-08-17,60.3,Fail
STU0530,SCH08,3,Reading,2025-07-31,70.2,Pass
STU0226,SCH01,3,Math,2025-09-06,,Pass
STU0070,SCH01,5,Math,2025-09-27,55.9,Fail
STU0220,SCH03,8,Writing,2025-08-06,66.9,Pass
STU0485,SCH07,4,Math,2025-09-11,,Fail
STU0421,SCH08,8,Math,2025-04-10,77.1,Pass
STU0063,SCH07,8,Science,2025-06-12,70.3,Pass
STU0195,SCH08,4,Writing,2026-01-01,61.1,Pass
STU0286,SCH08,4,Math,2025-07-16,40.1,Pass
STU0052,SCH01,3,Reading,2026-03-18,78.4,Pass
STU0417,SCH08,6,Reading,2025-10-01,89.3,Pass
STU0389,SCH01,6,Science,2026-01-24,43.7,Fail
STU0293,SCH07,8,Writing,2025-10-05,75.1,Pass
STU0594,SCH01,8,Science,2025-08-14,78.4,Pass
STU0052,SCH08,7,Reading,2025-12-01,,Pass
STU0071,SCH02,8,Reading,2025-08-17,74.2,Fail
STU0123,SCH04,7,Math,2025-06-18,56.6,Fail
STU0268,SCH04,8,Science,2025-06-19,57.3,Pass
STU0272,SCH07,4,Science,2025-07-28,34.7,Pass
STU0010,SCH08,7,Math,2026-03-12,77.2,Pass
STU0551,SCH04,7,Science,2026-02-07,77.4,
STU0251,SCH06,5,Reading,2026-01-04,78.3,Fail
STU0557,SCH05,7,Math,2025-12-16,58.6,Pass
STU0138,SCH05,3,Math,2025-07-23,51.4,Pass
STU0279,SCH05,7,Reading,2025-09-02,66.0,Fail
STU0518,SCH08,5,Math,2025-08-24,58.1,Pass
STU0434,SCH05,3,Math,2025-04-26,64.0,Fail
STU0166,SCH08,7,Writing,2025-09-30,74.9,Pass
STU0115,SCH02,8,Reading,2025-12-31,40.7,Pass
STU0441,SCH03,3,Science,2025-12-12,60.0,Fail
STU0041,SCH06,4,Reading,2026-02-26,,Fail
STU0159,SCH04,4,Reading,2025-07-14,55.9,Fail
STU0026,SCH03,8,Science,2025-07-12,71.1,Pass
STU0274,SCH03,8,Math,2026-02-23,52.9,Fail
STU0040,SCH08,4,Reading,2025-06-08,74.8,Fail
STU0234,SCH04,3,Reading,2025-05-21,52.8,Fail
STU0337,SCH05,3,Science,2025-07-02,57.4,Fail
STU0029,SCH02,5,Reading,2025-07-19,82.4,Fail
STU0040,SCH02,7,Writing,2025-08-26,53.1,Fail
STU0524,SCH02,6,Reading,2026-02-12,89.7,Fail
STU0046,SCH07,3,Reading,2026-03-21,,Fail
STU0322,SCH02,8,Science,2026-04-07,72.3,Fail
STU0419,SCH06,6,Science,2026-01-13,58.8,Fail
STU0179,SCH05,6,Math,2026-03-01,64.7,Fail
STU0294,SCH04,6,Science,2025-07-30,,Pass
STU0524,SCH08,8,Reading,2025-09-14,71.5,Pass
STU0291,SCH06,3,Reading,2025-05-09,63.0,Pass
STU0151,SCH01,3,Reading,2025-06-26,58.5,Fail
STU0075,SCH08,6,Reading,2025-09-03,65.1,
STU0250,SCH03,8,Math,2025-05-08,,Pass
STU0436,SCH04,4,Writing,2026-01-24,78.8,Pass
STU0468,SCH03,6,Science,2026-03-17,71.5,Fail
STU0517,SCH07,7,Writing,2025-10-12,87.8,Fail
STU0461,SCH05,4,Science,2025-06-06,53.1,Fail
STU0245,SCH05,6,Math,2025-04-25,65.5,Fail
STU0328,SCH02,4,Reading,2026-02-28,,Pass
STU0393,SCH03,8,Reading,2026-02-18,82.1,Fail
STU0426,SCH01,4,Writing,2025-09-01,74.0,Fail
STU0599,SCH01,7,Writing,2025-09-15,32.5,Fail
STU0400,SCH07,7,Reading,2025-09-12,73.2,Fail
STU0225,SCH05,6,Writing,2025-08-06,81.4,Fail
STU0170,SCH08,4,Math,2025-12-10,70.5,Fail
STU0578,SCH01,3,Writing,2026-01-03,79.0,Pass
STU0267,SCH07,5,Reading,2025-11-12,80.6,Fail
STU0335,SCH06,6,Science,2025-08-09,68.4,Fail
STU0084,SCH08,3,Math,2026-03-10,39.7,Fail
STU0230,SCH02,8,Math,2025-04-13,69.0,Pass
STU0021,SCH03,4,Reading,2025-11-11,31.3,Fail
STU0118,SCH04,6,Science,2025-04-12,69.0,Pass
STU0168,SCH05,3,Math,2025-04-08,59.0,
STU0590,SCH07,6,Reading,2025-09-17,,Pass
STU0105,SCH05,8,Math,2025-11-04,78.6,Pass
STU0356,SCH07,8,Science,2025-06-30,,Pass
STU0431,SCH08,3,Writing,2026-02-12,77.1,Fail
STU0471,SCH03,6,Reading,2026-03-02,64.0,Fail
STU0552,SCH08,6,Writing,2026-03-07,29.3,Fail
STU0331,SCH04,3,Science,2025-04-26,76.3,
STU0584,SCH07,5,Math,2025-08-06,60.4,Fail
STU0333,SCH03,6,Reading,2025-06-24,60.9,
STU0283,SCH01,7,Reading,2026-02-12,77.2,Pass
STU0248,SCH07,6,Reading,2025-04-07,60.1,Fail
STU0459,SCH01,3,Science,2025-05-28,,Pass
STU0415,SCH04,5,Science,2025-12-31,49.8,Fail
STU0564,SCH06,5,Writing,2025-07-24,71.1,Fail
STU0314,SCH05,4,Math,2025-07-23,65.7,Pass
STU0197,SCH04,8,Writing,2026-02-04,55.2,Fail
STU0538,SCH05,3,Reading,2026-01-06,63.9,Fail
STU0015,SCH03,5,Math,2025-09-29,81.6,Pass
STU0567,SCH05,8,Reading,2025-06-09,51.8,Pass
STU0013,SCH05,6,Writing,2025-12-21,48.9,Fail
STU0349,SCH03,3,Science,2026-01-23,83.9,Pass
STU0411,SCH08,3,Math,2025-12-02,61.8,Pass
STU0153,SCH05,3,Reading,2025-07-23,86.8,Pass
STU0536,SCH07,6,Writing,2025-10-05,85.3,
STU0440,SCH05,7,Math,2025-11-17,49.0,Pass
STU0217,SCH05,8,Math,2025-09-14,52.3,Pass
STU0246,SCH03,7,Math,2026-01-06,76.5,Fail
STU0299,SCH01,4,Science,2025-11-09,80.8,Fail
STU0465,SCH02,8,Reading,2025-04-10,91.5,Pass
STU0436,SCH02,7,Reading,2026-02-13,55.8,Pass
STU0273,SCH03,3,Math,2025-05-17,,Fail
STU0450,SCH02,6,Science,2025-06-23,79.1,Fail
STU0279,SCH08,6,Math,2025-06-02,42.3,Fail
STU0257,SCH01,3,Reading,2025-07-09,49.8,Pass
STU0276,SCH01,4,Writing,2025-07-27,51.9,Fail
STU0186,SCH07,8,Writing,2025-12-09,66.1,Pass
STU0482,SCH06,6,Science,2026-01-18,65.0,Pass
STU0338,SCH07,8,Writing,2026-03-31,74.4,Fail
STU0411,SCH01,6,Math,2025-11-06,62.8,Fail
STU0527,SCH01,8,Writing,2025-08-14,80.2,Fail
STU0056,SCH04,7,Science,2025-09-03,55.4,Fail
STU0053,SCH04,5,Reading,2025-12-20,55.7,Fail
STU0449,SCH08,3,Math,2026-01-19,88.3,Pass
STU0163,SCH05,7,Math,2025-05-06,64.5,Fail
STU0096,SCH04,3,Writing,2025-09-04,88.5,Pass
STU0511,SCH05,7,Science,2025-10-13,60.9,Fail
STU0495,SCH08,4,Writing,2025-07-10,54.0,Pass
STU0072,SCH05,6,Science,2025-04-27,,Fail
STU0003,SCH05,8,Science,2025-05-23,78.3,Fail
STU0153,SCH08,7,Writing,2026-03-06,51.2,Fail
STU0341,SCH07,6,Science,2025-11-20,,Pass
STU0586,SCH07,4,Writing,2025-08-25,37.2,Pass
STU0326,SCH08,8,Writing,2026-03-05,51.3,
STU0508,SCH01,4,Science,2026-03-30,82.5,Pass
STU0451,SCH02,7,Writing,2025-08-17,76.3,Pass
STU0077,SCH08,5,Science,2025-12-27,68.8,Fail
STU0083,SCH06,8,Writing,2025-05-14,88.2,Fail
STU0555,SCH01,7,Math,2025-10-21,62.0,Pass
STU0295,SCH04,8,Math,2026-01-20,61.8,Pass
STU0455,SCH03,8,Science,2025-12-01,70.8,Pass
STU0048,SCH06,3,Science,2025-08-11,58.0,Pass
STU0544,SCH07,7,Reading,2025-04-19,80.4,Pass
STU0180,SCH02,7,Writing,2025-09-19,59.9,Pass
STU0238,SCH08,8,Science,2025-07-22,60.4,Fail
STU0262,SCH01,6,Science,2025-11-28,64.1,Fail
STU0354,SCH05,8,Writing,2026-02-01,60.1,Fail
STU0468,SCH05,4,Writing,2025-05-03,72.3,Fail
STU0586,SCH06,7,Science,2025-04-20,62.3,Fail
STU0023,SCH07,5,Math,2025-06-12,47.1,Pass
STU0509,SCH05,4,Science,2025-07-10,58.8,Pass
STU0195,SCH05,8,Reading,2026-02-13,,Pass
STU0317,SCH08,3,Science,2026-02-13,44.6,Pass
STU0093,SCH05,5,Writing,2025-10-25,71.6,Fail
STU0544,SCH05,4,Science,2025-10-07,,Fail
STU0303,SCH06,3,Writing,2025-10-29,76.0,Pass
STU0407,SCH06,3,Writing,2026-01-13,66.1,Pass
STU0271,SCH02,6,Science,2025-09-13,57.6,Fail
STU0381,SCH02,8,Reading,2025-08-09,48.2,Fail
STU0026,SCH06,7,Reading,2025-07-25,55.2,Fail
STU0310,SCH07,3,Reading,2025-09-24,50.9,Pass
STU0039,SCH05,6,Math,2025-08-14,93.7,Pass
STU0398,SCH08,5,Writing,2026-03-23,86.0,Pass
STU0425,SCH02,6,Writing,2026-03-13,79.3,Fail
STU0223,SCH08,6,Reading,2026-02-25,63.5,Fail
STU0102,SCH06,7,Science,2026-02-08,79.2,Pass
STU0466,SCH02,8,Reading,2025-11-12,72.5,Pass
STU0052,SCH06,4,Reading,2026-03-25,70.3,Pass
STU0222,SCH04,5,Reading,2025-08-13,58.1,Pass
STU0284,SCH03,4,Science,2025-08-12,70.2,Pass
STU0135,SCH01,5,Reading,2026-03-18,61.1,Fail
STU0017,SCH03,5,Math,2025-12-21,79.0,Pass
STU0066,SCH08,6,Science,2025-05-19,79.2,Pass
STU0463,SCH04,7,Math,2025-10-15,63.3,Fail
STU0470,SCH01,3,Writing,2025-06-28,35.5,Fail
STU0437,SCH02,6,Writing,2026-03-08,73.5,Pass
STU0068,SCH03,5,Science,2025-08-05,70.7,Fail
STU0544,SCH05,6,Writing,2025-05-29,86.9,Pass
STU0441,SCH08,4,Writing,2025-10-08,81.6,
STU0465,SCH07,6,Math,2025-11-15,63.0,
STU0384,SCH03,8,Writing,2025-08-13,80.0,Pass
STU0094,SCH02,3,Writing,2026-01-07,88.2,Pass
STU0570,SCH01,7,Science,2025-09-20,82.0,Pass
STU0421,SCH06,8,Writing,2025-11-30,84.2,Fail
STU0320,SCH06,3,Reading,2026-02-08,50.3,Pass
STU0494,SCH04,3,Science,2025-06-12,76.1,Fail
STU0588,SCH04,6,Math,2026-01-19,56.1,Fail
STU0030,SCH03,5,Science,2026-02-06,80.3,Pass
STU0147,SCH07,3,Reading,2025-12-31,,Pass
STU0094,SCH04,6,Writing,2026-03-06,59.6,Fail
STU0333,SCH02,3,Reading,2026-03-25,70.5,Pass
STU0051,SCH02,5,Writing,2025-07-05,,Fail
STU0425,SCH05,4,Math,2025-12-19,53.3,Fail
STU0441,SCH02,5,Writing,2026-03-27,55.3,Pass
STU0405,SCH01,3,Reading,2025-11-14,65.8,
STU0217,SCH03,5,Science,2026-04-01,67.1,Fail
STU0180,SCH03,6,Reading,2025-12-20,69.6,Fail
STU0074,SCH07,8,Math,2026-02-18,52.7,
STU0321,SCH07,7,Writing,2025-12-07,74.5,Fail
STU0297,SCH02,6,Math,2025-05-20,77.0,
STU0371,SCH02,6,Math,2025-05-08,66.1,Pass
STU0447,SCH07,7,Math,2025-10-13,57.7,Fail
STU0227,SCH06,4,Math,2025-12-20,75.9,Pass
STU0544,SCH04,5,Science,2025-11-22,64.1,Pass
STU0242,SCH02,4,Science,2026-02-07,40.5,Pass
STU0178,SCH03,8,Math,2025-05-24,79.4,Fail
STU0476,SCH08,8,Science,2025-07-10,91.2,Fail
STU0155,SCH08,3,Writing,2025-04-21,56.1,Fail
STU0058,SCH06,7,Math,2025-08-28,72.5,
STU0473,SCH08,3,Math,2026-03-01,59.6,Pass
STU0520,SCH07,6,Math,2026-01-22,77.1,Fail
STU0586,SCH04,5,Writing,2025-05-04,30.3,Fail
STU0106,SCH06,8,Math,2025-05-28,67.7,Pass
STU0041,SCH04,8,Writing,2026-04-01,86.2,Pass
STU0373,SCH06,5,Writing,2025-11-14,67.0,Fail
STU0347,SCH01,8,Science,2025-11-04,74.1,Fail
STU0291,SCH05,8,Reading,2025-12-02,70.7,Fail
STU0084,SCH03,5,Science,2025-10-27,90.8,Fail
STU0133,SCH02,5,Writing,2025-05-17,63.3,Fail
STU0131,SCH02,8,Writing,2025-11-13,65.1,Fail
STU0185,SCH04,5,Writing,2026-02-10,,Pass
STU0232,SCH03,4,Math,2025-11-10,60.5,Pass
STU0345,SCH03,7,Writing,2025-07-08,93.3,Pass
STU0167,SCH03,8,Reading,2026-03-22,67.2,Fail
STU0244,SCH08,7,Science,2026-01-19,63.6,Fail
STU0240,SCH04,5,Writing,2025-10-07,76.1,Fail
STU0473,SCH05,6,Writing,2026-02-03,62.4,
STU0205,SCH03,5,Math,2026-02-02,,Pass
STU0529,SCH02,5,Math,2026-02-09,44.3,Pass
STU0280,SCH08,7,Reading,2025-07-20,71.2,
STU0462,SCH06,3,Writing,2025-12-10,62.3,Pass
STU0406,SCH06,4,Writing,2025-12-05,82.5,Pass
STU0327,SCH02,8,Science,2026-01-31,67.5,Pass
STU0141,SCH01,5,Writing,2025-07-19,65.3,Fail
STU0460,SCH01,3,Math,2025-04-25,60.3,Fail
STU0221,SCH03,7,Writing,2025-12-08,77.5,
STU0125,SCH01,4,Writing,2025-04-27,76.0,Fail
STU0065,SCH02,6,Math,2025-09-30,54.7,Pass
STU0299,SCH07,3,Science,2026-01-25,53.5,Pass
STU0585,SCH07,4,Math,2026-01-30,54.0,Pass
STU0400,SCH08,3,Writing,2026-01-06,65.9,Fail
STU0260,SCH01,5,Math,2025-07-24,54.3,Pass
STU0596,SCH06,4,Math,2026-01-13,88.2,Fail
STU0560,SCH06,8,Reading,2025-04-25,79.0,Fail
STU0187,SCH03,3,Writing,2025-10-05,48.1,Pass
STU0301,SCH04,3,Reading,2025-06-13,77.8,Fail
STU0528,SCH07,7,Writing,2025-12-06,59.4,Fail
STU0038,SCH04,5,Science,2025-08-28,71.0,Fail
STU0280,SCH02,5,Writing,2025-09-11,64.4,Fail
STU0451,SCH07,5,Reading,2025-06-10,50.4,Fail
STU0085,SCH07,3,Writing,2026-04-04,68.4,Pass
STU0559,SCH05,5,Math,2025-07-06,87.3,Fail
STU0457,SCH07,4,Writing,2025-11-12,78.6,Fail
STU0458,SCH01,8,Science,2025-11-10,56.0,Pass
STU0077,SCH07,5,Reading,2025-08-09,57.4,Pass
STU0147,SCH08,3,Reading,2025-11-06,91.8,Fail
STU0371,SCH07,7,Math,2025-10-09,78.7,Pass
STU0461,SCH06,5,Writing,2026-02-27,69.6,Fail
STU0408,SCH06,8,Science,2025-05-25,48.5,Pass
STU0117,SCH01,8,Reading,2026-03-24,53.2,Pass
STU0269,SCH05,8,Writing,2025-12-01,68.1,Pass
STU0293,SCH08,4,Math,2025-04-23,71.9,Pass
STU0456,SCH02,8,Science,2025-04-28,72.4,Fail
STU0067,SCH05,5,Reading,2026-03-03,59.8,
STU0371,SCH04,3,Reading,2025-08-04,34.6,Pass
STU0243,SCH08,3,Science,2025-04-18,54.4,Pass
STU0089,SCH02,5,Writing,2025-12-21,63.2,Fail
STU0539,SCH07,6,Math,2025-06-22,77.2,Pass
STU0461,SCH08,8,Science,2025-10-04,,Pass
STU0565,SCH03,4,Writing,2025-06-26,37.8,Pass
STU0531,SCH03,5,Reading,2026-01-30,67.5,Pass
STU0331,SCH04,5,Science,2025-06-21,74.5,
STU0129,SCH05,7,Math,2025-09-01,58.6,Pass
STU0595,SCH03,4,Science,2025-06-15,,Pass
STU0084,SCH01,8,Science,2025-08-08,,Pass
STU0586,SCH07,7,Math,2025-11-28,46.9,Fail
STU0310,SCH08,4,Writing,2025-09-10,68.3,Fail
STU0465,SCH02,8,Math,2025-12-25,76.5,
STU0209,SCH06,7,Reading,2025-11-30,81.0,Fail
STU0327,SCH06,6,Reading,2025-04-26,69.2,Pass
STU0327,SCH04,6,Math,2025-08-02,50.0,
STU0461,SCH04,4,Math,2025-10-23,102.4,
STU0255,SCH03,5,Science,2026-03-29,79.3,
STU0164,SCH08,7,Writing,2025-05-06,,Pass
STU0093,SCH07,7,Writing,2025-10-27,68.1,Pass
STU0221,SCH06,3,Math,2025-06-23,64.0,Fail
STU0293,SCH01,3,Writing,2025-10-13,87.8,Pass
STU0271,SCH06,6,Science,2026-03-06,72.7,Pass
STU0372,SCH05,3,Writing,2026-03-06,69.4,Fail
STU0564,SCH05,7,Math,2025-12-23,72.7,Fail
STU0348,SCH06,4,Reading,2025-10-28,72.9,Fail
STU0513,SCH01,3,Math,2025-11-23,76.8,Fail
STU0532,SCH08,4,Reading,2025-04-17,78.2,Fail
STU0327,SCH03,6,Science,2025-11-24,53.2,Fail
STU0577,SCH05,6,Math,2025-12-14,,Fail
STU0340,SCH02,6,Science,2025-04-10,,Pass
STU0486,SCH05,8,Reading,2025-08-09,44.9,
STU0598,SCH08,4,Writing,2025-12-26,81.6,Pass
STU0587,SCH02,4,Math,2026-01-17,86.1,Fail
STU0322,SCH07,4,Writing,2025-10-22,62.4,Fail
STU0064,SCH03,7,Reading,2026-02-26,53.6,Fail
STU0490,SCH07,5,Reading,2025-05-14,50.1,Fail
STU0271,SCH08,4,Reading,2026-01-15,72.6,Fail
STU0572,SCH05,4,Science,2026-02-11,71.1,Fail
STU0325,SCH08,5,Science,2025-10-25,44.8,Fail
STU0125,SCH07,6,Science,2025-09-10,94.0,Fail
STU0044,SCH05,8,Math,2025-09-30,60.4,Fail
STU0453,SCH05,8,Writing,2026-02-25,74.3,Fail
STU0576,SCH05,4,Math,2026-02-17,95.4,Pass
STU0249,SCH01,8,Reading,2025-11-09,64.8,
STU0339,SCH08,3,Reading,2025-07-24,64.2,Pass
STU0564,SCH03,6,Writing,2025-06-20,58.1,Fail
STU0329,SCH05,8,Math,2025-11-16,69.4,Pass
STU0588,SCH04,7,Math,2026-02-07,76.0,Pass
STU0038,SCH07,6,Reading,2025-06-07,63.2,Fail
STU0039,SCH01,5,Math,2025-06-03,,Fail
STU0557,SCH08,4,Writing,2025-09-29,62.1,Fail
STU0198,SCH02,5,Reading,2025-04-16,,Pass
STU0015,SCH06,5,Reading,2025-09-28,,Pass
STU0416,SCH07,7,Science,2025-07-22,87.1,Pass
STU0144,SCH08,5,Reading,2025-11-24,79.6,Pass
STU0268,SCH07,4,Writing,2025-10-21,68.9,Fail
STU0597,SCH01,5,Science,2025-08-16,30.8,Pass
STU0064,SCH02,6,Science,2025-04-25,80.3,Fail
STU0121,SCH05,5,Reading,2025-11-28,87.3,Pass
STU0137,SCH08,4,Writing,2025-12-30,67.7,Fail
STU0563,SCH08,7,Reading,2026-03-26,47.5,Pass
STU0084,SCH08,7,Science,2026-01-12,85.1,Pass
STU0561,SCH04,7,Reading,2025-07-26,77.1,Pass
STU0336,SCH08,3,Reading,2025-05-11,64.4,Fail
STU0057,SCH08,4,Writing,2025-07-28,,Fail
STU0578,SCH01,7,Writing,2025-06-12,62.0,Pass
STU0406,SCH05,3,Reading,2026-01-07,56.6,Pass
STU0047,SCH07,5,Math,2025-07-27,62.9,Pass
STU0484,SCH01,5,Writing,2026-03-08,66.6,Pass
STU0139,SCH07,5,Writing,2025-10-25,36.3,Fail
STU0385,SCH02,8,Reading,2026-02-16,78.6,Fail
STU0122,SCH03,7,Writing,2025-10-13,,Pass
STU0004,SCH01,5,Writing,2025-09-26,63.6,Fail
STU0545,SCH07,4,Reading,2025-09-23,,Pass
STU0116,SCH01,8,Writing,2025-04-29,70.1,Pass
STU0247,SCH04,3,Math,2026-01-10,54.4,Pass
STU0251,SCH01,6,Writing,2025-05-23,58.9,Pass
STU0553,SCH04,3,Reading,2025-12-27,55.6,Fail
STU0592,SCH06,4,Science,2025-04-19,67.7,Pass
STU0534,SCH04,6,Science,2025-06-20,65.0,Pass
STU0438,SCH08,3,Science,2026-03-24,86.9,Fail
STU0538,SCH06,8,Writing,2025-07-02,57.4,Pass
STU0551,SCH08,4,Reading,2026-03-20,74.9,Fail
STU0148,SCH08,3,Writing,2025-12-03,86.8,
STU0398,SCH04,5,Reading,2026-03-17,64.2,Fail
STU0081,SCH08,5,Math,2025-12-31,40.5,Pass
STU0275,SCH07,8,Math,2026-01-20,,Pass
STU0193,SCH04,6,Reading,2025-05-13,77.2,Pass
STU0217,SCH04,8,Math,2026-02-18,,Fail
STU0249,SCH04,6,Reading,2025-10-10,43.4,Fail
STU0478,SCH06,5,Science,2025-09-08,59.7,Fail
STU0526,SCH08,6,Math,2026-02-12,,Fail
STU0209,SCH06,5,Writing,2025-06-22,45.3,Pass
STU0577,SCH04,8,Reading,2025-08-01,86.9,Fail
STU0303,SCH03,4,Science,2025-05-21,,Pass
STU0389,SCH04,6,Science,2026-03-11,66.7,Fail
STU0472,SCH03,8,Science,2026-01-07,95.8,Pass
STU0144,SCH08,4,Math,2026-01-27,39.7,Pass
STU0050,SCH01,6,Reading,2025-10-19,63.7,Pass
STU0070,SCH03,3,Reading,2026-02-22,53.5,Fail
STU0500,SCH01,3,Writing,2026-03-07,67.5,Pass
